text,label
중증 외상으로 신속한 응급 치료가 필요한 상태,1
알레르기 쇼크로 인한 긴급 처치가 필요한 상황,1
음식물에 의한 기도폐쇄로 인한 급성 호흡곤란,1
중증 천식 발작으로 생명이 위험한 상태,1
사지 골절로 인한 과도한 통증과 출혈이 일어난 상황,1
급성 심부전으로 생명이 위험할 수 있는 상태,1
알콜 중독으로 인한 심신 이상 상태,1
중증 소화성 궤양으로 인한 출혈과 극심한 복통,1
두부 외상으로 인한 무의식 상태,1
중독으로 인한 혼수 상태,1
급성 신부전으로 응급 투석이 필요한 상황,1
심혈관계 질환으로 인한 급성 심부전 발작,1
독극물 물림으로 인한 사지 부종과 발적이 심각한 상황,1
급성 뇌출혈로 인한 빠른 신경외과 수술이 필요한 상태,1
중증 피부 홍반병으로 인한 알레르기 반응,1
급성 뇌염으로 인한 의식 변화와 경련 발작,1
급성 심방세동으로 인한 심혈관 사고,1
중증 폐렴으로 인한 호흡 어려움과 발열,1
중독성 간염으로 응급 간 이식이 필요한 상황,1
급성 심근염으로 인한 협심증 발작,1
시신경막염으로 인한 신경계 이상 증세,1
긴장성 두통으로 인한 혼란과 의식 손상,1
급성 질환으로 인한 혼수 상태,1
심장마비의 위험성이 있는 상태,1
중증 당뇨병 케토아산토남으로 인한 혼동 상태,1
급성 심근경색으로 인한 정맥 혈전증,1
급성 신기능 저하로 인한 요화학적 이상,1
급성 간염으로 인해 혈액 독성 상승,1
급성 대동맥 박리로 인한 생명 위협적인 상세,1
급성 폐색종으로 인한 호흡 곤란,1
급성 장골치염으로 인한 충혈과 통증,1
미용 판독이 필요한 심혈관계 질환으로 인한 정신 변화,1
급성 신위경화로 인한 알콜 이상 환자,1
심장마비 환자,1
급성 호흡곤란,1
중증의 두통과 구토,1
가슴 통증으로 호흡이 어려워지고 응급실으로 급히 이송되어야 합니다.,2
폐렴으로 인해 호흡이 곤란하며 응급적인 처치가 필요합니다.,2
응급실에서 혈액 돌연변이로 인한 출혈로 인해 급한 수술이 필요합니다.,2
급성 심근경색 증상으로 주변부에 통증이 생기고 응급적인 심장 마취가 필요합니다.,2
"두려움과 체한 호흡, 식은땀이 나며 응급상황으로 판단됩니다.",2
흉부 통증과 호흡곤란이 동반될 때 심근경색이 의심되어 응급적으로 치료가 필요합니다.,2
뇌졸중으로 인해 언어 장애와 왼쪽 팔의 마비 증상이 나타나 응급실에서 적절한 처치가 필요합니다.,2
급성 심근경색이 의심되어 흉통과 호흡곤란과 함께 증상이 나타나며 응급 치료가 필요합니다.,2
급성 뇌출혈로 인해 의식 잃고 양쪽 팔다리 마비 증상이 나타나 급히 수술이 필요합니다.,2
폴리오로 인한 호흡곤란 증상이 나타나 급하게 응급실로 이송되어야 합니다.,2
사람 신체에 뻣뻣한 통증과 혈액 순환이 원활하지 않으면 응급 치료가 필요합니다.,2
중증 결막염으로 눈을 깜박대거나 눈을 가리는 증세가 나타나면 응급적인 치료가 필요합니다.,2
단순한 이질과 호흡이 곤란해지며 응급적인 처치가 필요합니다.,2
고열과 두통으로 환자가 의식을 잃을 위험이 있으므로 응급실로 이송되어야 합니다.,2
급성 뇌경색으로 인해 말더듬과 팔 다리 마비 증상이 나타나 응급 수술이 필요합니다.,2
뇌출혈로 인해 혼수 상태에 빠지고 호흡이 불규칙해지면 즉각적인 치료가 필요합니다.,2
급성 심근경색으로 모독통과 함께 호흡곤란이면 흉통으로 응급실로 이송되어야 합니다.,2
고혈압으로 인해 두통과 혼돈이 증상이 나타나 급히 응급실로 이송되어야 합니다.,2
결막염으로 눈이 붉고 가렵다면 응급적인 치료가 필요합니다.,2
급성 심근경색으로 심장부위가 아프고 호흡이 어려워지면 수술로 급히 처치되어야 합니다.,2
급성 뇌출혈로 인해 의식 잃고 몸이 붓고 호흡이 곤란해지면 급한 처리가 필요합니다.,2
극도로 저체온이 되어 먹은 파묻혔으면 응급적인 처치가 필요합니다.,2
급성 심근경색으로 가슴이 아파서 호흡이 어려워지면 직접 치료가 필요합니다.,2
아토피성 기관지염으로 호흡곤란과 하품이 나타나면 급히 응급실로 이송되어야 합니다.,2
급성 뇌출혈로 인해 혼란과 언어장애 증상이 나타나면 즉시 수술이 필요합니다.,2
항열제 과다 복용으로 호흡이 어려워지고 두통이 심하다면 응급 치료가 필요합니다.,2
급성 심근경색으로 인해 가슴이 메어지고 호흡곤란이 생기며 응급 수술이 필요합니다.,2
급성 뇌경색으로 인해 말더듬과 팔다리 마비 증상이 나타나 응급 수술이 필요합니다.,2
뇌출혈로 인해 의식이 소실되고 혈압이 급속히 하락하면 즉각적인 치료가 필요합니다.,2
급성 심근경색으로 가슴이 아파서 호흡이 어려워지면 직접 치료가 필요합니다.,2
간질로 인한 갑작스러운 저신음으로 경련과 쇽이 나타나면 응급적인 처치가 필요합니다.,2
급성 심근경색으로 인해 가슴이 메어지고 호흡곤란이 생기며 응급 수술이 필요합니다.,2
급성 뇌출혈로 인해 의식을 잃고 팔다리 마비 증상이 나타나면 즉각적인 수술이 필요합니다.,2
폭풍우로 인한 교통사고로 인해 부상을 입고 출혈로 인한 급히 수술이 필요합니다.,2
급성 뇌출혈로 인해 의식을 잃고 양쪽 팔다리 마비증상이 나타나 급한 수술 필요합니다.,2
삼중수막염으로 인해 두통과 망기가 나타나는 증상이 나타나면 응급적인 처치가 필요합니다.,2
급성 심근경색으로 호흡이 곤란해지고 가슴이 아플 때 응급실로 이송되어야 합니다.,2
폐색소폐증으로 호흡이 어려워지고 기침과 가래가 나타나면 응급 치료가 필요합니다.,2
급성 뇌출혈로 인해 의식 잃고 몸이 붓고 호흡이 곤란해지면 급한 처리가 필요합니다.,2
급성 심근경색으로 가슴이 아파서 호흡이 어려워지면 직접 치료가 필요합니다.,2
경련을 일으키는 질환으로 인해 의식이 불분명하고 과호흡이 발생하면 응급 수술이 필요합니다.,2
급성 심근경색으로 심장주위가 아파고 호흡이 어려울 때 즉각 처치가 필요합니다.,2
고혈압으로 인해 양무릎과 양어깨에 통증과 혼란이 생기면 응급 수술이 필요합니다.,2
급성 뇌출혈로 인해 의식 소실되고 몸이 마비되며 급히 치료가 필요합니다.,2
뇌출혈로 인해 혼란과 언어 장애가 나타나면 즉시 수술이 필요합니다.,2
급성 심근경색으로 심장부위가 아프고 호흡이 어려워지면 수술로 급히 처치되어야 합니다.,2
급성 뇌출혈로 인해 의식을 소실하고 팔다리 마비 증상이 나타나면 급해서 수술이 필요합니다.,2
고열로 의식이 혼미해지고 손발이 마비되면 응급처치가 필요합니다.,2
심장의 급성 경색으로 흉통과 호흡곤란이 생기면 즉각적인 처치가 필요합니다.,2
급성 뇌경색으로 말더듬과 팔다리 마비증상이 나타나면 즉각적인 치료가 필요합니다.,2
뇌출혈로 인해 혼란이 생기고 잇몸이 없으면 즉각적으로 수술이 필요합니다.,2
급성 심근경색으로 말뿐과 호흡이 어려워지면 즉각적 치료가 필요합니다.,2
소아마비로 인해 팔다리마비와 복부통증을 호소할 때 응급 치료가 필요합니다.,2
급성 심근경색으로 소름이 돋고 호흡이 어려워지면 치료가 필요합니다.,2
뇌출혈로 인해 의식을 소실하고 팔다리 마비 증상이 나타나면 즉각적인 치료가 필요합니다.,2
고열로 인해 혼돈이 오고 손주통증을 호소할 때 응급 치료가 필요합니다.,2
심장의 급성 경색으로 인해 손뿐과 호흡이 어려워지면 치료가 필요합니다.,2
급성 뇌출혈로 인해 머리가 아프고 언어장애증상이 나타나 즉각적 치료가 필요합니다.,2
뇌출혈로 인해 혼동과 언어장애가 나타나는 증상이 나타나면 즉각적 치료가 필요합니다.,2
가슴 통증 및 압박감이 갑자기 시작되어 호흡 곤란을 호소하는 환자,2
갑작스럽고 심한 두통과 의식 변화가 나타나는 환자,2
심한 흉통으로 호흡 곤란을 겪는 환자,2
응급실에서 긴급한 혈압 강하제 요구하는 환자,2
초저온 환자가 혈압 저하와 호흡 어려움을 겪는 중,2
바닥에 쓰러진 환자가 심장마비를 의심받아 구급차를 요청함,2
흐릿한 시각과 균형 장애로 특정 부위에 마비 증상이 나타난 환자,2
중증 폐렴으로 호흡 속도가 빨라지고 가슴부터 코카노드 사용함,2
간헐적으로 심장마비와 호흡 중단 증상이 발생하는 환자,2
혈압과 맥박이 급격히 낮아지고 의식 변화를 보이는 환자,2
성인에서 고열과 정신 변화를 보이는 중,2
통증과 호흡 곤란을 호소하며 발적 발견한 환자,2
가슴 통증과 호흡곤란을 호소하는 갑작스럽게 발생한 환자,2
의식 잃은 환자가 흡입음 하는 것을 발견한 환자,2
의식 변화가 나타나고 두통 및 언어 장애가 있는 환자,2
여성이 가슴통증 및 호흡곤란으로 긴급진료를 요청함,2
대량응고증이 의심되어 호흡곤란 및 가슴통증 증상이 나타난 환자,2
최근 심부전으로 치료받은 환자가 호흡 곤란과 가슴통증을 호소함,2
"어지러움, 순환기 증상, 및 머리 인후로 과거상황보다 열악해진 환자",2
가뭄으로 탈수증상과 열중이 발생한 어린 환자,2
소화기 증상과 혈압저하로 인한 쓰러진 환자,2
심메스꺼움을 호소하며 혈압 강하제 요구하는 환자,2
의식 잃은 환자가 보호자에게 과거병력을 호소함,2
허리 아래 마비를 보일 때 무릎 골절이 의심되는 환자,2
중첩통증과 동반되는 구토증세를 호소하는 환자,2
성인에서 열이 나고 의식 잃은 것을 주장하는 환자,2
"식사 향후 바로, 흉부 통증과 호흡곤란으로 쓰러진 환자",2
흉부 폐쇄증으로 호흡이 곤란해질 때 호흡곤란이 더 복면된 상태,2
음성적인 수익형 장애가 있고 추잘 같은 면역정유질 하여 응급으로 구급차를 요청하는 환자,2
중요한 흉통 및 호흡 곤란 증상이 존재하는 환자,2
달리기 후에 무의식상태로 땅바닥에 쓰러진 환자,2
가슴 통증과 호흡 곤란을 동반한 환자,2
급격한 두통과 언어 장애가 나타난 환자,2
심한 혈액 응고로 인한 발한 증상을 보이는 환자,2
방사성 물질에 노출된 후 구토 및 구토로 인한 고열을 나타내는 환자,2
심각한 체중 감량과 식욕 부진이 오래 지속되는 환자,2
급격한 전신 부좌와 고열을 동반한 환자,2
응급실 도착 직전 의식 잃고 경련을 일으키는 환자,2
흉통과 호흡 곤란으로 심각한 심혈관 질환 가능성 있는 환자,2
급격한 의식 장애와 언어 이해 불가능한 환자,2
공격적인 행동과 환각을 보이는 환자,2
호흡이 어렵고 가슴이 답답한 상태,3
심장마비 가능성이 있는 상태,3
심한 혈압 상승으로 인한 두통과 혼돈,3
급성 위장 통증과 구토가 동반된 상태,3
뇌출혈 가능성이 있는 심한 두통,3
심해진 흉통과 숨쉬기가 곤란한 상태,3
심한 고통을 호소하는 환자,3
숨쉬기가 어려워서 몸이 부촉한 상태,3
혈압 급상승으로 혼란과 어지러움,3
등산 중 심한 복통과 혈뇌장애 가능성,3
심장 마비가 의심되는 흉통,3
흉통과 고통으로 인한 초조한 상태,3
급성 심근경색 가능성을 고려해야 하는 상태,3
심장마비 및 호흡기 탈수능성이 있는 상태,3
뇌출혈 가능성으로 심한 두통 호소,3
급성 복부 통증과 혈류장애 의심,3
저혈압으로 혼란 및 혈뇌장애 가능성,3
자살 시도 후 혈액 손실과 혼미 상태,3
심장 은폐하여 호흡 곤란을 호소,3
심해진 가슴 통증과 혼란,3
급성 뇌파 손상과 혼란 상태,3
고열을 동반한 혼란된 헛구역질,3
급성 심장 마비 가능성 있는 흉통,3
갑작스러운 심한 가슴 통증과 숨결곤란,3
혼미와 호흡 곤란을 호소하는 상태,3
급성 복부 통증과 혈우장애 의심,3
심해진 흉통과 공폐 관련 호흡곤란,3
"심해진 가슴 통증과 구토, 어지러움",3
뇌 출혈로 인한 혼미와 어지러움,3
심해진 흉통과 호흡곤란,3
급성 심근경색 가능성 있는 가슴 통증,3
숨쉬기가 곤란하고 몸이 떨리는 상태,3
악화 되는 협심증으로 인한 가슴앓이,3
중풍으로 인한 얼굴 신경마비 증세,3
가슴 통증과 호흡곤란 호소,3
혈관 파열로 인한 갑작스러운 흉통,3
중증인지장애로 혼미와 어리석음,3
급성 뇌혈전증으로 인한 얼굴 마비,3
숨쉬기 곤란과 뇌출혈 가능성,3
심장 이상 및 혈액 졸증으로 가슴 통증,3
혈압 급상승에 따른 섬망과 혼란,3
중풍으로 인한 얼굴 불안전한 마비,3
급성 심장마비 가능성 있는 혼미,3
방광염으로 인한 심한 배뇨통증,3
배부름 증세에 따른 구토와 사지 저림,3
뇌출혈 가능성 있는 증상 호소,3
심한 복통과 혼란을 호소하는 상태,3
호흡이 어려운 상황에서 고통을 호소하며 나머지 의식이 혼미한 환자,3
겨드랑이에서 지속적인 출혈을 겪고 있는 환자,3
재채기와 눈물이 동반되는 심한 알레르기 반응,3
배가 아픈데 설사가 동반되어 주변이 부종된 환자,3
독극물에 노출된 피부가 화상을 입은 환자,3
백혈구가 높게 나와 구토와 설사를 하는 환자,3
뇌진동과 함께 깊은 상처를 입은 환자,3
식도에서 큰 조각의 음식물을 삼켜 기침이 심한 환자,3
다리에 깊은 상처를 갖고 출혈이 나는 환자,3
박테리아에 감염돼 간지러운 발진과 열이 동반된 환자,3
자소서를 읽은 후 오열하고 구토하는 환자,3
배앓이가 심해지고 옅은 피가 섞인 변을 함께하는 환자,3
무거운 물건이 떨어져 온몸이 불편한 환자,3
갑자기 얼굴이 붉어지며 충혈이 된 환자,3
바위를 든 상태에서 깊은 상처로 출혈이 나는 환자,3
심한 두통과 오심이 동반된 고열 환자,3
자전거 사고로 머리를 부딪혀 의식을 잃은 환자,3
귀에서 피가 나며 동반된 어지러움을 호소하는 환자,3
목에 찔린 것으로 호흡이 어렵고 발한을 함께하는 환자,3
뒷목에 반복적인 타격으로 상처와 출혈이 나는 환자,3
숨이 차서 뒷건강과 신장 부위의 아픔을 호소하는 환자,3
거대한 산소포장으로 호흡이 곤란한 환자,3
사람이 지나치게 박테리아에 노출되어 열이 나는 환자,3
음식물에 알레르기 반응으로 얼굴이 부어 오는 환자,3
두장을 하고 뒷목을 베어 숨이 차는 환자,3
빗물을 마시고 구토가 동반되는 환자,3
매운 음식을 먹고서 두통이 심하게 시작된 환자,3
CCTV 카메라에 든 직후라 왼쪽 얼굴이 크게 붓고 아파하는 환자,3
칼로 팔이 찔려 혈관에 상처를 입고 출혈하고 있는 환자,3
날이 뜨겁고 습한 날씨로 인한 열 이상 증세를 호소하는 환자,3
무리한 신체활동으로 흉골을 다쳐 호흡이 어려운 환자,3
급한 배탈로 심한 설사를 하는 환자,3
디지털 심장으로 인한 심혈관에 문제가 있는 환자,3
아침에 치아가 해당되서 입안에 피가 많이 난 환자,3
가슴 윗부분에서 아래만졌을 때 걸레어플록을 부은 환자,3
간단한 집게질을 했는데도 피가 안 멈추는 상태인 환자,3
실제로 출퇴근할 수 없는 두통발생으로 약을 득한 환자,3
탑승자가 탈출하는 과정에 상처를 입고 있는 환자,3
갑자기 가슴이 터질 듯이 격렬한 가슴 통증을 호소하는 환자,3
자신이 문제가 있다고 하지만 볼과 입이 부었다고 호소하는 환자,3
숨을 못 쉬어 가슴에 불편함을 호소하는 환자,3
장난감을 입에 넣은 후 카펫 위로 쏟여 있는 환자,3
개인트레이닝 중 어깨를 부친 환자,3
심한 알레르기 반응으로 인한 호흡곤란,3
심한 체온 조절 문제로 인한 발작,3
심한 허혈성 신경병증으로 인한 인지 장애,3
심한 고도의 전신 화상으로 인한 출혈,3
심한 소화기 출혈을 동반한 중독 증상,3
심한 과로로 인한 뇌 졸중,3
심한 합병증으로 인한 호흡 고립,3
심한 혈액순환 문제로 인한 혼수 상태,3
심한 수면 장애로 인한 신체 흉추 변형,3
심한 압박 손상이 동반된 크러시 증후군,3
1년 된 아기가 갑자기 호흡곤란을 호소하고 빈티레아음과 호흡이 빠른게 보입니다.,4
고령 남성이 흉통과 가슴이 밀린다며 호소하고 있으며 전에 심장병력을 가지고 있음.,4
슬픈 정서를 나타내는 중년 여성이 갑자기 오른쪽 팔이 저림과 이동이 불가능하다고 호소함.,4
58세 여성이 복통과 혈변이 나오는 증상을 호소합니다.,4
1살짜리 아기가 구토와 설사로 탈수 증상이 나타나고 기력이 떨어진 것 같아 보입니다.,4
36세 남성이 혈액을 토하며 체온이 39도가 넘는 발열을 보입니다.,4
30대 여성이 어지러움과 얼굴이 일부 부숴져 아프다며 호소합니다.,4
고열과 기침으로 호흡곤란 증상이 나타난 65세 여성이 있습니다.,4
고령 남성이 어깨와 가슴 통증이 있으며 의식이 흐릿해 보입니다.,4
10대 여성이 호흡곤란과 목의 부기로 인한 괴사증상을 호소합니다.,4
1살짜리 아기가 머리를 많이 부딪혀서 의식이 없고 호흡이 끊기는 듯합니다.,4
남성이 땀을 많이 흘리며 가슴이 아프다며 호소합니다.,4
소아가 열이 나고 호흡곤란 증상을 보이고 있으며 어린이 병원 안내가 필요합니다.,4
소아가 발걸음이 불안정하며 얼굴이 붉어지고 구토를 하고 있습니다.,4
발목을 다쳐 호소하는 20대 여성이 있습니다.,4
장난감을 삼켜 호흡곤란 증상이 나타나는 2세 아동이 보입니다.,4
쇼크 상태인 남성으로 심장이 빠르게 뛰고 있으며 빈맥 상태도 나타납니다.,4
중년 남성이 호흡이 어려워하며 심장 마비 가능성이 있어 보입니다.,4
화상을 입은 아기가 울음소리가 약하고 응급 처치 도움이 필요합니다.,4
수술 후 얼굴이 붓고 호흡곤란 증상을 호소하는 중년 여성이 있습니다.,4
배에서 절단 상처가 생겼다며 복통을 호소하는 여성이 있습니다.,4
코카인 과다 복용으로 혼수 상태에 빠진 남성이 있습니다.,4
음주 상태인 청년이 호흡이 빠르고 미각이 떨어진 상태로 보입니다.,4
심한 공황 발작으로 의식이 이상한 여성이 있습니다.,4
골반 골절을 입고 호흡곤란 증상을 호소하는 여성이 있습니다.,4
가슴을 쥐어짜는 듯한 통증으로 호소하는 고령 여성이 있습니다.,4
강도 높은 두통으로 의식이 흐리는 청년이 있습니다.,4
발목을 삐어 통증으로 인한 응급 처치 도움이 필요한 청소년이 있습니다.,4
심각한 알코올 중독 증상을 보이는 40대 남성이 있습니다.,4
낮에도 계속되는 두통과 얼굴이 붉어진 고령 남성이 있습니다.,4
심장 마비가 의심되는 중년 여성이 있습니다.,4
눈이 벗겨지는 듯한 두통 증상을 호소하는 중년 여성이 있습니다.,4
시야가 좁아지는 듯한 두통으로 의식이 흐릿한 중년 남성이 있습니다.,4
혈당 수치가 급격히 하락하고 무기력증상을 호소하는 고령 여성이 있습니다.,4
젊은 여성이 기립성 혈압 저하로 실신 위험이 있어 보입니다.,4
음주 후 혼수 상태에 빠진 20대 남성이 있습니다.,4
곧바로 수술이 필요한 중요한 부정맥 증상을 보이는 50대 여성이 있습니다.,4
쇼크 상태의 혈액을 분유하며 의식이 흐릿해 보이는 70대 여성이 있습니다.,4
남성이 뇌졸중 증상으로 약독상태에 빠진 듯한 모습으로 오른쪽 팔 다리의 이동이 어려워 보입니다.,4
고열과 콧물 알레르기 증상을 호소하는 소아가 있습니다.,4
눈이 왜곡되는 듯한 두통으로 의식이 불안정한 것 처럼 보입니다.,4
격한 어깨 통증으로 응급 처치가 필요한 40대 남성이 있습니다.,4
숨 쉬기 쉽지 않은 호흡곤란 증상으로 응급 치료가 시급한 50대 여성이 있습니다.,4
급격한 복통으로 응급 병원으로 이송이 필요한 60대 여성이 있습니다.,4
전신이 심한 가려움과 피부가 빨간색으로 변하며 호흡곤란 증상을 보이는 중년 여성이 있습니다.,4
1세 여아가 토하며 두통과 발열로 쇼크 상태가 오감상으로 보입니다.,4
고열과 가래가 올라오는 증상을 호소하는 70대 남성이 있습니다.,4
바닥이 미끄러 대문에 넘어져 뻗어가는 소아가 있습니다.,4
대상포진이 발생하여 손이 붓고 가려움증과 통증을 호소하는 30대 여성이 있습니다.,4
심한 연하거나 혼란 상태가 있어 갑자기 혈액을 분비하여 경련과 신경계 혼동상태가 있는 수술환자가 있습니다.,4
혈관이 터진 것처럼 혈액이 지나갔으며 전신이 아프다며 호흡이 가셔보입니다.,4
흡입으로 호감상태로 호흡곤란 증상으로 의식이 심하게 흐려 보입니다.,4
경고적인 깊은 호흡이 어려워하며 흉통과 호흡 곤란 증상을 나타내는 남성이 있습니다.,4
턱이 제대로 열리지 않는다며 의식이 흐릿해진 남성이 있습니다.,4
엄청난 경련그이 남성이 있으며 의식이 혼란해 보입니다.,4
전신이 아프고 혈액이 붉게나오며 의식이 없다는 남성이 있습니다.,4
가슴을 뒤에 찔러드는 듯한 갑자기 가슴 통증으로 호흡이 상당히 어려워 보입니다.,4
왼쪽 팔이 안 찍이는 것 처럼 느껴지며 호흡이 따끔거려 보이는 중년 여성이 있습니다.,4
어지러움과 두통에 호흡이 어려워 보이는 청소년이 있습니다.,4
전신이 아프고 피몬색 피부 속을 보이는 약독적 모습이 보입니다.,4
가슴을 뒤에 찍은 듯한 증상으로 호흡이 상당히 곤란해보입니다.,4
고열과 심한 통증을 호소하는 아동,4
가슴 통증과 호흡 곤란을 겪는 노인 환자,4
혼수 상태에 빠진 젊은 성인,4
심한 출혈을 겪고 있는 외상 환자,4
급격한 신기능 저하로 인한 의식 장애를 보이는 중년 남성,4
심한 소양과 혈뇌장애의 증세를 보이는 뇌졸중 환자,4
급성 복통과 구토로 고통을 호소하는 여성,4
시력 감퇴와 두통을 호소하는 노인,4
흉통과 숨참은 호흡을 겪고 있는 환자,4
이명과 증폭된 두통을 호소하는 청소년,4
현기증과 실신을 겪고 있는 젊은 성인,4
양쪽 팔 다리를 다쳐 든 환자,4
급격한 가슴 통증과 링거 병상을 호소하는 노인,4
악화된 요통과 하복부 통증을 호소하는 중년 여성,4
흉통과 혈전증상을 겪는 청년 남성,4
골반 골절과 출혈을 겪고 있는 외상 환자,4
중증 흉통을 호소하는 심장 환자,4
무릎 골절과 심한 통증을 겪는 청년,4
급격한 호흡 곤란과 부기를 겪는 중년 여성,4
중증 경련 발작과 발열을 보이는 아동,4
흉통과 구역질을 호소하는 청년 여성,4
급격한 신경병증 증세를 호소하는 노인,4
외상으로 인한 응급 수술이 필요한 뇌출혈 환자,4
허리 통증과 하체 마비를 겪는 뇌경색 환자,4
급성 가슴 통증과 숨참은 호흡을 겪는 청년,4
혼수 상태에 빠진 뇌출혈 환자,4
중증 흉통을 호소하는 청년 남성,4
신경마비와 의식 장애를 겪는 중년 남성,4
급격한 저체온증상과 혈뇌장애의 증세를 보이는 뇌졸중 환자,4
목 상해와 장식을 겪고 있는 외상 환자,4
혈통 신경증상과 경련을 보이는 중년 여성,4
급격한 심장 마비로 인한 혈청 반응을 보이는 심장 환자,4
발목 골절과 심한 통증을 호소하는 아동,4
급격한 두통과 혼수 상태를 겪고 있는 뇌출혈 환자,4
중증 구토와 복부 팽만을 호소하는 중년 여성,4
손목 골절과 출혈을 겪고 있는 외상 환자,4
흉통과 심한 호흡 곤란을 호소하는 중년 여성,4
급격한 현기증과 어지러움을 겪는 젊은 성인,4
중증 흉통과 두근거림을 보이는 심장 환자,4
가래가 많이 나와 목이 아픈 상태,5
가래가 많이 나오나 열은 없는 상태,5
목이 아픈 상태,5
열은 없고 목이 아픈 상태,5
목이 아파 말을 하고싶지 않은 상태,5
밤중에 이불을 덮고 자고 나서 땀을 많이 흘린 상태,5
예민한 소리에 귀가 아프고 가렵거나 붓는 상태,5
식사 후 복통이 있지만 통증이 심하지 않은 상태,5
두통이 가벼운 상태,5
어깨가 뻐근하고 움직이기 어려운 상태,5
옷을 갈아입을 때 가슴이 산뜻하게 숨쉬기 어려운 상태,5
손가락을 다쳤지만 출혈이 거의 없고 통증이 조금 있는 상태,5
가을철에 콧물과 재채기가 자주 나오는 상태,5
손목이 잠시 아파도 계속 사용할 수 있는 상태,5
배가 고픈데 식사를 하면 속이 거부감을 느끼는 상태,5
건조한 입안이나 두드러기가 나타나지만 가렵거나 불편한 정도는 아닌 상태,5
갈비뼈 부분이 가끔 아프지만 특별히 조작하거나 압박할 필요는 없는 상태,5
노인분이 허리를 숙였을 때 허리에 묵직한 느낌이 들더라도 걷는데 불편하지는 않은 상태,5
